date,time,target,temp_pred,weather_pred
2023-04-01,0,479.282,5.0,"пасм, 58%"
2023-04-01,1,445.182,5.0,"пасм, 58%"
2023-04-01,2,424.225,5.0,"пасм, 58%"
2023-04-01,3,413.866,4.0,"пасм, 71% дождь"
2023-04-01,4,408.146,4.0,"пасм, 71% дождь"
2023-04-01,5,405.742,4.0,"пасм, 71% дождь"
2023-04-01,6,411.929,4.0,"пасм, 71% дождь"
2023-04-01,7,418.876,4.0,"пасм, 71% дождь"
2023-04-01,8,451.236,4.0,"пасм, 71% дождь"
2023-04-01,9,497.727,5.0,"пасм, 46% дождь"
2023-04-01,10,534.805,5.0,"пасм, 46% дождь"
2023-04-01,11,555.82,5.0,"пасм, 46% дождь"
2023-04-01,12,561.494,5.0,"пасм, 10% дождь"
2023-04-01,13,559.256,5.0,"пасм, 10% дождь"
2023-04-01,14,557.918,5.0,"пасм, 10% дождь"
2023-04-01,15,556.243,4.0,"пасм, 9% дождь"
2023-04-01,16,555.59,4.0,"пасм, 9% дождь"
2023-04-01,17,557.699,4.0,"пасм, 9% дождь"
2023-04-01,18,561.074,2.0,"пасм, 9% дождь"
2023-04-01,19,563.52,2.0,"пасм, 9% дождь"
2023-04-01,20,576.638,2.0,"пасм, 9% дождь"
2023-04-01,21,573.547,1.0,"пасм, 23%"
2023-04-01,22,552.278,1.0,"пасм, 23%"
2023-04-01,23,523.083,1.0,"пасм, 23%"
2023-04-02,0,485.462,2.0,"пасм, 61% снег+д"
2023-04-02,1,453.605,2.0,"пасм, 61% снег+д"
2023-04-02,2,432.391,2.0,"пасм, 61% снег+д"
2023-04-02,3,420.61,1.0,"пасм, 61% снег+д"
2023-04-02,4,414.625,1.0,"пасм, 61% снег+д"
2023-04-02,5,413.094,1.0,"пасм, 61% снег+д"
2023-04-02,6,418.042,2.0,"пасм, 12% снег+д, ветер"
2023-04-02,7,420.147,2.0,"пасм, 12% снег+д, ветер"
2023-04-02,8,445.654,2.0,"пасм, 12% снег+д, ветер"
