time,month,day,weather_pred
0,1,1,"пасм, ветер, 56%"
0,1,2,"пасм, 60%"
0,1,3,"пасм, 42% ветер"
0,1,4,"пасм, 47%"
0,1,5,"обл с пр, 51%"
0,1,6,пасмурно
0,1,7,"пасм, 75% снег"
0,1,8,"пасм, 11%"
0,1,9,пасмурно
0,1,10,"пасм, 77% д+снег"
0,1,11,"пасм, 16%"
0,1,12,"пасм, 90% дождь"
0,1,13,"пасм,12%"
0,1,14,"обл с пр, 18%"
0,1,15,"пасм, 82% дождь, ветер"
0,1,16,"пасм, 14% ,ветер"
0,1,17,пасмурно
0,1,18,п/обл
0,1,19,"пасм, 44% д+снег"
0,1,20,"пасм, 14%"
0,1,21,"пасмурно, 14%"
0,1,22,"пасм, 12% д+снег"
0,1,23,"пасм, 23%"
0,1,24,пасмурно
0,1,25,ясно
0,1,26,пасмурно
0,1,27,"пасм, 73%  д+снег"
0,1,28,п/обл
0,1,29,"пасм, 54% д+снег"
0,1,30,"пасм, 86% д+снег, ветер"
0,1,31,"обл с пр, 24%"
0,2,1,"пасм, 87% д+снег, ветер"
0,2,2,"пасм, 83% д+снег, ветер"
0,2,3,п/обл
0,2,4,"пасм, 35%"
0,2,5,п/обл
0,2,6,"пасм, 21% снег"
0,2,7,"пасм, 14%, ветер"
0,2,8,"пасм, 14%"
0,2,9,"пасм, неб.ветерок"
0,2,10,"пасм, ветер"
0,2,11,"пасм, 94% д+снег, ветер"
0,2,12,ясно
0,2,13,"пасм, 40%, ветер"
0,2,14,п/обл
0,2,15,пасмурно
0,2,16,пасмурно
0,2,17,"пасм, 47%"
0,2,18,"пасм, 20%, шторм"
0,2,19,"обл с пр, ветер, 12%"
0,2,20,п/обл
0,2,21,"пасм, 63% ветер"
0,2,22,обл с пр
0,2,23,пасмурно
0,2,24,"пасм, 87%, д+снег"
0,2,25,"пасм, 73%, д+снег"
0,2,26,"пасм, 9% д+снег"
0,2,27,обл с пр
0,2,28,ясно
0,3,1,пасм
0,3,2,пасмурно
0,3,3,"пасм, ветерок"
0,3,4,"пасм, ветер"
0,3,5,"ясно, 24%"
0,3,6,"обл с пр, 40% д+снег"
0,3,7,"п/обл, 40%"
0,3,8,"пасм, ветер"
0,3,9,обл с пр
0,3,10,"ясно, 24%"
0,3,11,"пасм.,снег, ветер"
0,3,12,облачно
0,3,13,облачно
0,3,14,"облачно, ветер"
0,3,15,"пасм, 19% дождь"
0,3,16,обл с пр
0,3,17,пасмурно
0,3,18,"пасм, ветерок"
0,3,19,облачно
0,3,20,"пасм, 54%"
0,3,21,"обл с пр, 18%"
0,3,22,"пасм, 46%"
0,3,23,"пасм, ветерок"
0,3,24,"пасмурно, 44%"
0,3,25,ясно
0,3,26,"пасм, 47%"
0,3,27,"пасм, 42% д+снег"
0,3,28,пасмурно
0,3,29,ясно
0,3,30,"пасм, 39% дождь"
0,3,31,"пасм, 74% дождь"
0,4,1,"обл, ветер"
0,4,2,"п/обл, ветер"
0,4,3,п/обл
0,4,4,"пасм, ветер, дождь"
0,4,5,"пасм, ветер, дождь"
0,4,6,"пасм, ветер, дождь"
0,4,7,"пасм, неб.дождь, ветер"
0,4,8,"обл с пр, 74%"
0,4,9,облачно
0,4,10,"пасм, 24%, ветер"
0,4,11,"п/обл, ветер"
0,4,12,"ясно, 11%"
0,4,13,п/обл
0,4,14,"пасм, ветерок"
0,4,15,"пасм, 61%"
0,4,16,"п/обл, ветер"
0,4,17,"п/обл, 12%"
0,4,18,п/обл
0,4,19,"обл с пр, 16%"
0,4,20,"пасм, 23%"
0,4,21,облачно
0,4,22,пасмурно
0,4,23,"пасм, 12%"
0,4,24,"п/обл, 15%"
0,4,25,"пасм, 65%"
0,4,26,малообл
0,4,27,облачно
0,4,28,ясно
0,4,29,п/обл
0,4,30,облачно
0,5,1,"пасм, 51%"
0,5,2,п/обл
0,5,3,"пасм,9%, ветер"
0,5,4,"облачно, 9%"
0,5,5,"п/обл, 9%"
0,5,6,"обл с пр, 44%"
0,5,7,ясно
0,5,8,ясно
0,5,9,ясно
0,5,10,п/обл
0,5,11,"пасм, 14%, ветерок"
0,5,12,"пасм, 47%"
0,5,13,малообл.
0,5,14,пер.обл.
0,5,15,пер.обл.
0,5,16,ясно
0,5,17,малообл.
0,5,18,ясно
0,5,19,ясно
0,5,20,"пасм, ветер"
0,5,21,"пасм, 42% дождь"
0,5,22,"пасм, 40%, ветер"
0,5,23,пасмурно
0,5,24,"пасм, ветер"
0,5,25,"пасм, 37%"
0,5,26,"п/обл, 14%"
0,5,27,"обл, ветер, 15%"
0,5,28,"пасм, ветер, 72%"
0,5,29,"пасм, 74%"
0,5,30,"пасм, 35%"
0,5,31,"ясно, 58%"
0,6,1,"пасм, 12%"
0,6,2,"ясно, 24%"
0,6,3,"п/обл, ветер"
0,6,4,пасм
0,6,5,ясно
0,6,6,пасмурно
0,6,7,"пасм, 19%"
0,6,8,"пасм, 72%"
0,6,9,ясно
0,6,10,"пасм, 78%"
0,6,11,"ясно, 16%"
0,6,12,ясно
0,6,13,пасмурно
0,6,14,ясно
0,6,15,ясно
0,6,16,пасмурно
0,6,17,облачно
0,6,18,"пасм, 16%"
0,6,19,ясно
0,6,20,"пасм, 34%"
0,6,21,"п/обл, 76%"
0,6,22,п/обл
0,6,23,п/обл
0,6,24,ясно
0,6,25,ясно
0,6,26,ясно
0,6,27,ясно
0,6,28,"ясно, ветерок"
0,6,29,"пасм, дождь"
0,6,30,пасмурно
0,7,1,"пасм, ветер, дождь"
0,7,2,"пасм, дождь"
0,7,3,ясно
0,7,4,ясно
0,7,5,ясно
0,7,6,пер.обл.
0,7,7,облачно
0,7,8,облачно
0,7,9,ясно
0,7,10,пер.обл.
0,7,11,пер.обл.
0,7,12,дождь
0,7,13,"пасм, дождь 81%"
0,7,14,п/обл
0,7,15,"пасм, 37% дождь, ветер"
0,7,16,"пасм, ветер"
0,7,17,"пасм, дождь"
0,7,18,пасмурно
0,7,19,"облачно, 24%"
0,7,20,"ясно, 16%"
0,7,21,ясно
0,7,22,п/обл
0,7,23,п/обл
0,7,24,ясно
0,7,25,облачно
0,7,26,"обл, ветер"
0,7,27,ясно
0,7,28,пасмурно
0,7,29,"ясно, 12%"
0,7,30,облачно
0,7,31,"пасм, 73% ветер"
0,8,1,"пасм, 87% ветер"
0,8,2,ясно
0,8,3,ясно
