time,month,day,weather_pred
0,4,1,"пасм, 58%"
0,4,2,"пасм, 61% снег+д"
0,4,3,п/обл
0,4,4,"обл с пр, 42% снег"
0,4,5,"пасм, 68% "
0,4,6,"пасм, 21%"
0,4,7,"пасм, 54%"
0,4,8,пасмурно
0,4,9,"пасм, 67% дождь"
0,4,10,ясно 14%
0,4,11,ясно
0,4,12,"пасм, 61% дождь"
0,4,13,ясно
0,4,14,пасмурно
0,4,15,"пасм, ветер"
0,4,16,"пасм, 7% дождь"
0,4,17,ясно
0,4,18,обл с пр
0,4,19,"ясно, 18%"
0,4,20,"пасм, ветер"
0,4,21,ясно
0,4,22,ясно
0,4,23,ясно
0,4,24,"п/обл, 70%"
0,4,25,"пасм, 80% дождь, ветерок"
0,4,26,"обл с пр, 21%, ветер"
0,4,27,"ясно, ветерок"
0,4,28,ясно
0,4,29,обл с пр
0,4,30,"пасм, 71%, ветерок"
0,5,1,ясно
0,5,2,"пасм, 12%"
0,5,3,"пасм, 67% ливень, ветер"
0,5,4,ясно
0,5,5,ясно
0,5,6,ясно
0,5,7,обл с пр
0,5,8,ясно
0,5,9,ясно
0,5,10,"ясно, 24%"
0,5,11,"ясно, 33%"
0,5,12,ясно
0,5,13,п/обл
0,5,14,обл с пр
0,5,15,ясно
0,5,16,"пасм, 16% дождь"
0,5,17,п/обл
0,5,18,пасмурно
0,5,19,пасмурно
0,5,20,пасмурно
0,5,21,ясно
0,5,22,обл с пр
0,5,23,пасмурно
0,5,24,облачно
0,5,25,пер.обл.
0,5,26,ясно
0,5,27,ясно
0,5,28,обл с пр
0,5,29,ясно
0,5,30,ясно
0,5,31,ясно
0,6,1,ясно
0,6,2,малообл.
0,6,3,"ясно, сев.ветер"
0,6,4,облачно
0,6,5,пер.обл.
0,6,6,"ясно, сев.ветер"
0,6,7,
0,6,8,
0,6,9,
0,6,10,облачно
0,6,11,ясно
0,6,12,ясно
0,6,13,облачно
0,6,14,облачно
0,6,15,пасмурно
0,6,16,обл с пр
0,6,17,"пасм, 23% ливень"
0,6,18,пасм
0,6,19,п/обл
0,6,20,облачно
0,6,21,"ясно, ощ.+21"
0,6,22,"пасмурно, дождь"
0,6,23,пер.обл.
0,6,24,"дождь 2,5 мм?"
0,6,25,пер.обл.
0,6,26,малообл.
0,6,27,облачно
0,6,28,облачно
0,6,29,пер.обл.
0,6,30,ясно
0,7,1,"дождь 4,6 мм"
0,7,2,облачно
0,7,3,ясно
0,7,4,ясно
0,7,5,ясно
0,7,6,"пасм, 80% дождь"
0,7,7,ясно
0,7,8,п/обл
0,7,9,ясно
0,7,10,п/обл
0,7,11,"пасм, 75% дождь"
0,7,12,п/обл
0,7,13,ясно
0,7,14,п/обл
0,7,15,п/обл
0,7,16,облачно
0,7,17,ясно
0,7,18,"п/обл, 61%"
0,7,19,обл с пр
0,7,20,ясно
0,7,21,"ясно, 60%"
0,7,22,"пасм, 74% дождь"
0,7,23,ясно
0,7,24,"обл с пр, 54% дождь"
0,7,25,"пасм, 72%"
0,7,26,ясно
0,7,27,пасмурно
0,7,28,ясно
0,7,29,ясно
0,7,30,"пасм, 96% дождь"
0,7,31,"ясно, 47%"
1,4,1,"пасм, 58%"
1,4,2,"пасм, 61% снег+д"
1,4,3,п/обл
1,4,4,"обл с пр, 42% снег"
1,4,5,"пасм, 68% "
1,4,6,"пасм, 21%"
1,4,7,"пасм, 54%"
1,4,8,пасмурно
1,4,9,"пасм, 67% дождь"
1,4,10,ясно 14%
1,4,11,ясно
1,4,12,"пасм, 61% дождь"
1,4,13,ясно
1,4,14,пасмурно
1,4,15,"пасм, ветер"
1,4,16,"пасм, 7% дождь"
1,4,17,ясно
1,4,18,обл с пр
1,4,19,"ясно, 18%"
1,4,20,"пасм, ветер"
1,4,21,ясно
1,4,22,ясно
1,4,23,ясно
1,4,24,"п/обл, 70%"
